category_name,category_slug,parent,is_publish
گوشی ضد آب,گوشی-ضد-آب,20,1
گوشی گیمینگ,گوشی-گیمینگ,20,1
گوشی بر اساس عملکرد,گوشی-بر-اساس-عملکرد,1,1
گوشی آنر,گوشی-آنر,2,1
گوشی هواوی,گوشی-هواوی,2,1
گوشی تا 10 میلیون,گوشی-تا-10-میلیون,16,1
گوشی بر اساس قیمت,گوشی-بر-اساس-قیمت,1,1
بلندگو,بلندگو,13,1
دستگاه پخش,دستگاه-پخش,13,1
لوازم صوتی و تصویری,لوازم-صوتی-و-تصویری,12,1
خودرو و موتور سیکلت,خودرو-و-موتور-سیکلت,,1
ظروف پخت و پز,ظروف-پخت-و-پز,10,1
خانه و آشپزخانه,خانه-و-آشپزخانه,,1
هدست,هدست,5,1
هدفون,هدفون,5,1
لوازم جانبی لب تاپ,لوازم-جانبی-لب-تاپ,5,1
لب تاپ,لب-تاپ,5,1
کالای دیجیتال,کالای-دیجیتال,,1
شیايومی,شیايومی,2,1
سامسونگ,سامسونگ,2,1
برندهای مختلف موبایل,برندهای-مختلف-موبایل,1,1
موبایل,موبایل,,1
