course_name,course_description,course_price,course_duration,category_id
Waterproofer,Other signs and symptoms in breast,$5.84,1,1
Boilermaker,Allergy to seafood,$0.51,2,1
Brickmason,Overflow incontinence,$9.11,3,1
Concrete Finisher,Hypoplasia of breast,$6.96,4,1
Glazier,"Premature separation of placenta, unspecified as to episode of care or not applicable",$8.39,5,1
Boilermaker,Unspecified disorder of tooth development and eruption,$6.82,6,1
Welder,"Open fracture of multiple ribs, unspecified",$9.55,7,1
Plasterers,Closed fracture of unspecified part of neck of femur,$8.92,8,1
Millwright,Sudden infant death syndrome,$8.40,9,1
Refridgeration,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified",$2.88,10,1
Millwright,Other motor vehicle nontraffic accident while boarding and alighting injuring unspecified person,$0.65,11,1
Painter,Gastrointestinal mucositis (ulcerative),$9.92,12,1
Plasterers,"Chondrocalcinosis, due to pyrophosphate crystals, forearm",$3.97,13,1
Concrete Finisher,"Abnormal cardiovascular function study, unspecified",$5.70,14,1
Carpenter,Injury to posterior tibial vein,$9.18,15,1
Plasterers,"Chronic migraine without aura, without mention of intractable migraine without mention of status migrainosus",$7.81,16,1
Boilermaker,Infection of colostomy or enterostomy,$0.46,17,1
Welder,Malignant neoplasm of scrotum,$3.32,18,1
Landscaper,"Other congenital or acquired abnormality of cervix, delivered, with mention of postpartum complication",$6.20,19,1
Plasterers,Trichomoniasis of other specified sites,$3.61,20,1
Laborer,Obesity hypoventilation syndrome,$3.55,21,1
Laborer,Degeneration of cervical intervertebral disc,$6.52,22,1
Carpenter,Chloral hydrate group causing adverse effects in therapeutic use,$7.01,23,1
Carpenter,Dysplasia of vagina,$7.86,24,1
Sheet Metal Worker,Unspecified orthopedic aftercare,$2.38,25,1
Plumber,Degeneration of cervical intervertebral disc,$9.12,26,1
Cement Mason,Papanicolaou smear of cervix with high grade squamous intraepithelial lesion (HGSIL),$0.87,27,1
Landscaper,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes",$8.73,28,1
Millwright,Toxic effect of unspecified lead compound,$7.23,29,1
Brickmason,Accidental fall from ladder,$5.50,30,1
Concrete Finisher,Injury due to war operations by unintentional destruction of aircraft due to own onboard explosives,$1.92,31,1
Refridgeration,"Suspected damage to fetus from drugs, affecting management of mother, antepartum condition or complication",$0.00,32,1
Millwright,Other congenital anomalies of lung,$2.32,33,1
Ironworker,"Osteoarthrosis, unspecified whether generalized or localized, hand",$9.05,34,1
Tile Setter,Motor vehicle traffic accident of unspecified nature injuring passenger in motor vehicle other than motorcycle,$6.66,35,1
Linemen,"Unspecified abortion, complicated by embolism, complete",$5.48,36,1
Landscaper,Family history of asthma,$0.98,37,1
Refridgeration,Celiac artery compression syndrome,$3.97,38,1
Boilermaker,"Blister of finger(s), without mention of infection",$4.36,39,1
Waterproofer,Other alcohol-induced mental disorders,$1.80,40,1
Pipefitter,Squamous cell carcinoma of scalp and skin of neck,$2.23,41,1
Brickmason,Multiple and combined congenital anomalies of anterior segment,$3.21,42,1
Cement Mason,"Burn [any degree] involving 50-59 percent of body surface with third degree burn, 20-29%",$8.08,43,1
Glazier,"Periostitis, without mention of osteomyelitis, lower leg",$6.44,44,1
Ironworker,Volvulus,$1.18,45,1
Painter,Other nondiabetic proliferative retinopathy,$3.48,46,1
Tile Setter,Fitting and adjustment of peritoneal dialysis catheter,$0.51,47,1
Cement Mason,Sialolithiasis,$7.28,48,1
Linemen,Cryptosporidiosis,$0.46,49,1
Laborer,Eosinophilic colitis,$5.36,50,1
Sheet Metal Worker,Poor aesthetics of existing restoration,$3.14,51,51
Painter,"Developmental dislocation of joint, shoulder region",$4.55,52,52
Millwright,Unspecified hypertensive heart disease without heart failure,$8.04,53,53
Pipefitter,Radicular cyst,$6.09,54,54
Landscaper,Severe sepsis,$5.41,55,55
Painter,Ileostomy status,$5.66,56,56
Laborer,Toxic effect of hydrocyanic acid and cyanides,$2.78,57,57
Plasterers,"Other current conditions classifiable elsewhere of mother, delivered, with mention of postpartum complication",$3.65,58,58
Terrazzo,"Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, complicated",$7.24,59,59
Carpenter,"Open wound of other and multiple sites of mouth, complicated",$4.87,60,60
Pipelayer,Sprain of carpal (joint) of wrist,$5.87,61,61
Safety Officer,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes",$2.58,62,62
Painter,Acute pyelonephritis without lesion of renal medullary necrosis,$4.04,63,63
Waterproofer,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring unspecified person",$1.35,64,64
Painter,Examination for medicolegal reasons,$1.68,65,65
Linemen,Unspecified site of sprain and strain,$0.54,66,66
Refridgeration,Open fracture of unspecified bone(s) of foot [except toes],$2.51,67,67
Waterproofer,Depressive type psychosis,$1.53,68,68
Laborer,Inconclusive mammogram,$6.40,69,69
Refridgeration,Other specified railway accident injuring other specified person,$6.56,70,70
