course_name,course_description,course_price,course_duration,category_id
Waterproofer,Other signs and symptoms in breast,5.84,2,1
Boilermaker,Allergy to seafood,0.51,2,1
Brickmason,Overflow incontinence,9.11,2,1
Concrete Finisher,Hypoplasia of breast,6.96,2,1
Glazier,"Premature separation of placenta, unspecified as to episode of care or not applicable",8.39,2,1
Boilermaker,Unspecified disorder of tooth development and eruption,6.82,2,1
Welder,"Open fracture of multiple ribs, unspecified",9.55,2,1
Plasterers,Closed fracture of unspecified part of neck of femur,8.92,2,1
Millwright,Sudden infant death syndrome,8.4,2,1
Refridgeration,"Open fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified",2.88,2,1
Millwright,Other motor vehicle nontraffic accident while boarding and alighting injuring unspecified person,0.65,2,1
Painter,Gastrointestinal mucositis (ulcerative),9.92,2,1
Plasterers,"Chondrocalcinosis, due to pyrophosphate crystals, forearm",3.97,2,1
Concrete Finisher,"Abnormal cardiovascular function study, unspecified",5.7,2,1
Carpenter,Injury to posterior tibial vein,9.18,2,1
Plasterers,"Chronic migraine without aura, without mention of intractable migraine without mention of status migrainosus",7.81,2,1
Boilermaker,Infection of colostomy or enterostomy,0.46,2,1
Welder,Malignant neoplasm of scrotum,3.32,2,1
Landscaper,"Other congenital or acquired abnormality of cervix, delivered, with mention of postpartum complication",6.2,2,1
Plasterers,Trichomoniasis of other specified sites,3.61,2,1
Laborer,Obesity hypoventilation syndrome,3.55,2,1
Laborer,Degeneration of cervical intervertebral disc,6.52,2,1
Carpenter,Chloral hydrate group causing adverse effects in therapeutic use,7.01,2,1
Carpenter,Dysplasia of vagina,7.86,2,1
Sheet Metal Worker,Unspecified orthopedic aftercare,2.38,2,1
Plumber,Degeneration of cervical intervertebral disc,9.12,2,1
Cement Mason,Papanicolaou smear of cervix with high grade squamous intraepithelial lesion (HGSIL),0.87,2,1
Landscaper,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes",8.73,2,1
Millwright,Toxic effect of unspecified lead compound,7.23,2,1
Brickmason,Accidental fall from ladder,5.5,2,1
Concrete Finisher,Injury due to war operations by unintentional destruction of aircraft due to own onboard explosives,1.92,2,1
Refridgeration,"Suspected damage to fetus from drugs, affecting management of mother, antepartum condition or complication",0.0,2,1
Millwright,Other congenital anomalies of lung,2.32,2,1
Ironworker,"Osteoarthrosis, unspecified whether generalized or localized, hand",9.05,2,1
Tile Setter,Motor vehicle traffic accident of unspecified nature injuring passenger in motor vehicle other than motorcycle,6.66,2,1
Linemen,"Unspecified abortion, complicated by embolism, complete",5.48,2,1
Landscaper,Family history of asthma,0.98,2,1
Refridgeration,Celiac artery compression syndrome,3.97,2,1
Boilermaker,"Blister of finger(s), without mention of infection",4.36,2,1
Waterproofer,Other alcohol-induced mental disorders,1.8,2,1
Pipefitter,Squamous cell carcinoma of scalp and skin of neck,2.23,2,1
Brickmason,Multiple and combined congenital anomalies of anterior segment,3.21,2,1
Cement Mason,"Burn [any degree] involving 50-59 percent of body surface with third degree burn, 20-29%",8.08,2,1
Glazier,"Periostitis, without mention of osteomyelitis, lower leg",6.44,2,1
Ironworker,Volvulus,1.18,2,1
Painter,Other nondiabetic proliferative retinopathy,3.48,2,1
Tile Setter,Fitting and adjustment of peritoneal dialysis catheter,0.51,2,1
Cement Mason,Sialolithiasis,7.28,2,1
Linemen,Cryptosporidiosis,0.46,2,1
Laborer,Eosinophilic colitis,5.36,2,1
Sheet Metal Worker,Poor aesthetics of existing restoration,3.14,2,1
Painter,"Developmental dislocation of joint, shoulder region",4.55,2,1
Millwright,Unspecified hypertensive heart disease without heart failure,8.04,2,1
Pipefitter,Radicular cyst,6.09,2,1
